scenario,algorithm,trial,success,planning_time_sec,path_length,nodes_expanded,simulation_steps,replan_count,total_planning_time_sec
simple,astar,0,True,0.0004988000000594184,26.970562748477146,92,0,0,0.0
simple,dijkstra,0,True,0.0013258999970275909,26.970562748477146,313,0,0,0.0
simple,astar,1,True,0.0005905000143684447,26.970562748477146,108,0,0,0.0
simple,dijkstra,1,True,0.0014298000023700297,26.970562748477146,315,0,0,0.0
simple,astar,2,True,0.0004864999937126413,26.970562748477146,89,0,0,0.0
simple,dijkstra,2,True,0.0014069000026211143,26.970562748477146,317,0,0,0.0
simple,astar,3,True,0.0005037999944761395,26.970562748477146,94,0,0,0.0
simple,dijkstra,3,True,0.0013315999967744574,26.970562748477146,314,0,0,0.0
simple,astar,4,True,0.0005361999938031659,26.970562748477146,94,0,0,0.0
simple,dijkstra,4,True,0.0015223000082187355,26.970562748477146,316,0,0,0.0
simple,astar,5,True,0.0004585999995470047,26.970562748477146,85,0,0,0.0
simple,dijkstra,5,True,0.0013669999898411334,26.970562748477146,313,0,0,0.0
simple,astar,6,True,0.0003966000076616183,27.798989873223338,76,0,0,0.0
simple,dijkstra,6,True,0.0013590000016847625,27.798989873223338,307,0,0,0.0
simple,astar,7,True,0.0005000999954063445,26.970562748477146,92,0,0,0.0
simple,dijkstra,7,True,0.001494899988756515,26.970562748477146,313,0,0,0.0
simple,astar,8,True,0.00042070000199601054,26.970562748477146,76,0,0,0.0
simple,dijkstra,8,True,0.0016143000102601945,26.970562748477146,318,0,0,0.0
simple,astar,9,True,0.0005418999935500324,28.142135623730955,95,0,0,0.0
simple,dijkstra,9,True,0.0014026000135345384,28.142135623730955,317,0,0,0.0
simple,astar,10,True,0.000375000003259629,26.970562748477146,66,0,0,0.0
simple,dijkstra,10,True,0.001661899994360283,26.970562748477146,313,0,0,0.0
simple,astar,11,True,0.0005800999933853745,26.970562748477146,108,0,0,0.0
simple,dijkstra,11,True,0.0013405999925453216,26.970562748477146,309,0,0,0.0
simple,astar,12,True,0.0008814000029815361,27.55634918610405,83,0,0,0.0
simple,dijkstra,12,True,0.001731099997414276,27.55634918610405,308,0,0,0.0
simple,astar,13,True,0.00047959999938029796,26.970562748477146,87,0,0,0.0
simple,dijkstra,13,True,0.0015484000032301992,26.970562748477146,318,0,0,0.0
simple,astar,14,True,0.0008492999913869426,27.798989873223338,157,0,0,0.0
simple,dijkstra,14,True,0.00133859999186825,27.798989873223338,315,0,0,0.0
complex,astar,0,True,0.0017869000002974644,52.69848480983498,367,0,0,0.0
complex,dijkstra,0,True,0.003339199989568442,52.69848480983498,658,0,0,0.0
complex,astar,1,True,0.0012026000040350482,47.28427124746189,219,0,0,0.0
complex,dijkstra,1,True,0.003083400006289594,47.28427124746189,736,0,0,0.0
complex,astar,2,True,0.0014816999901086092,49.28427124746188,285,0,0,0.0
complex,dijkstra,2,True,0.003672299993922934,49.28427124746188,693,0,0,0.0
complex,astar,3,True,0.0005952000065008178,47.87005768508878,94,0,0,0.0
complex,dijkstra,3,True,0.003592299995943904,47.87005768508878,699,0,0,0.0
complex,astar,4,True,0.0006141000048955902,50.21320343559643,97,0,0,0.0
complex,dijkstra,4,True,0.0028960000054212287,50.21320343559643,644,0,0,0.0
complex,astar,5,True,0.0013479000044753775,51.28427124746188,280,0,0,0.0
complex,dijkstra,5,True,0.00329730000521522,51.28427124746188,715,0,0,0.0
complex,astar,6,True,0.0007196000078693032,51.62741699796949,126,0,0,0.0
complex,dijkstra,6,True,0.003266800005803816,51.62741699796949,712,0,0,0.0
complex,astar,7,True,0.0007811000104993582,46.69848480983498,97,0,0,0.0
complex,dijkstra,7,True,0.0032462999952258542,46.69848480983498,741,0,0,0.0
complex,astar,8,True,0.0004741000011563301,46.69848480983497,87,0,0,0.0
complex,dijkstra,8,True,0.0030030000052647665,46.69848480983497,716,0,0,0.0
complex,astar,9,True,0.0014139999984763563,48.4558441227157,291,0,0,0.0
complex,dijkstra,9,True,0.0029310999962035567,48.45584412271569,697,0,0,0.0
complex,astar,10,True,0.0012901000009151176,47.28427124746189,169,0,0,0.0
complex,dijkstra,10,True,0.0034156999900005758,47.28427124746189,702,0,0,0.0
complex,astar,11,True,0.0007611000037286431,47.769552621700456,145,0,0,0.0
complex,dijkstra,11,True,0.0033522000012453645,47.769552621700456,680,0,0,0.0
complex,astar,12,True,0.0005064999859314412,47.87005768508878,98,0,0,0.0
complex,dijkstra,12,True,0.002944199994090013,47.87005768508878,678,0,0,0.0
complex,astar,13,True,0.002426699997158721,54.94112549695426,503,0,0,0.0
complex,dijkstra,13,True,0.002984400009154342,54.94112549695426,711,0,0,0.0
complex,astar,14,True,0.0005440000095404685,46.69848480983498,103,0,0,0.0
complex,dijkstra,14,True,0.003062899995711632,46.69848480983498,730,0,0,0.0
dynamic,astar,0,True,0.0014420000079553574,72.25483399593905,0,22,2,0.0014420000079553574
dynamic,astar,1,True,0.002108500004396774,94.81118318204311,0,22,3,0.002108500004396774
dynamic,astar,2,True,0.0013961000076960772,74.66904755831214,0,22,2,0.0013961000076960772
dynamic,astar,3,True,0.0012424999877111986,70.01219330881977,0,23,2,0.0012424999877111986
dynamic,astar,4,True,0.0010645999864209443,69.01219330881977,0,22,2,0.0010645999864209443
dynamic,astar,5,True,0.0015210000128718093,72.49747468305834,0,22,2,0.0015210000128718093
dynamic,astar,6,True,0.0020029999868711457,96.2253967444162,0,22,3,0.0020029999868711457
dynamic,astar,7,True,0.001668299999437295,94.8111831820431,0,22,3,0.001668299999437295
dynamic,astar,8,True,0.003690599973197095,131.32590180780454,0,27,4,0.003690599973197095
